BDZ-RU-385,113
FY-VS-640,111
GCS-NA-00,109
POO-UI-9139,109
EH-LZ-4,108
PA-CW-07,113
DA-OU-413,119
FKY-EC-1,109
JNA-TN-418,127
POQ-CW-0,129
NZE-LL-0,123
YMV-TV-5200,111
EQ-GF-559,111
GZD-FE-56,123
ZUS-CT-8376,130
IMV-NS-5738,120
BOC-LR-027,114
SJT-DX-6,122
KBN-JI-12,108
FI-HY-868,126
IG-AY-5,130
NST-FG-088,114
LO-NS-9,122
CBC-EV-5,109
IXG-VF-47,126
LW-EZ-914,130
CT-ZB-98,116
HD-YT-7539,109
OO-TA-7575,123
NXJ-BU-2315,128
WO-HY-5083,119
PDA-GM-43,125
WN-XG-533,119
VYR-PK-9,128
HF-DY-1155,110
SVV-BK-5,119
BNA-PQ-2,128
LW-LU-99,114
SD-BP-7,113
TRA-IO-5,124
XZ-BJ-804,123
SCH-QC-7118,130
WSF-KU-27,118
DK-QA-5,124
DW-TU-3,111
WW-AX-13,114
HFG-XM-4,113
LG-WW-6087,128
YSY-ME-588,111
TRG-RJ-751,117
CLP-NS-87,114
PO-OZ-490,119
RKR-XZ-4841,113
FQK-CG-3,109
PE-BY-1953,120
OM-KB-9,114
TV-IH-1326,129
OUQ-MK-7,126
ERR-TX-9365,111
GES-CG-7,115
GKL-FO-57,130
MPY-TE-3,113
LKK-AH-0756,130
KHA-MR-90,111
AA-PW-4,113
OL-EZ-2,127
RW-KK-42,115
FAY-OE-9,126
AS-RJ-1669,130
JQ-WE-5,113
FZX-RD-8546,109
PA-VT-3,127
YB-XE-3742,110
KJ-HB-622,127
RYM-OV-7265,130
DD-PX-2701,109
MOJ-UQ-102,131
NT-PB-6402,121
DV-HR-852,129
TM-XQ-820,109
ZSS-IT-7,127
TEV-JX-4,118
AZC-FW-4,126
DK-IV-0,111
RQ-TO-6,125
VFJ-VE-6265,117
WXD-MV-2241,114
LF-KU-0572,111
GWL-WG-5985,120
DB-IM-2,115
ZE-CN-6316,118
PZL-VY-06,118
AB-NN-287,120
GZ-LP-3807,110
WZU-IG-4,114
EYY-KW-3,122
DX-FP-9913,115
QAR-BL-63,117
NH-ME-671,109
OE-ZJ-2,110
YHW-JX-3554,111
