QMX-XK-55,64
QCU-HD-6,62
VLG-GA-9294,57
EO-UN-0545,63
HIS-VX-928,62
RA-RX-5,61
VO-RW-685,58
QY-VG-82,63
NU-ZB-621,58
JE-SO-08,65
FH-RL-0,55
WJ-GO-96,57
WW-LQ-823,58
JKR-AN-9,61
MF-LM-99,64
YNO-JH-49,63
SIW-RC-19,57
GQT-TF-3274,65
SG-EU-720,62
NOW-UZ-9641,54
NY-LS-77,56
RGR-HN-236,62
GDS-KU-6,61
BB-UA-088,62
VS-XQ-5,56
YE-TY-8,61
VVQ-DK-0,55
RL-GZ-2,59
QF-TI-7,60
SCX-BS-5,61
ZSR-FV-4138,58
RGS-WR-72,61
CO-GZ-42,54
SMW-KO-989,60
ZCP-FS-1,57
TS-JU-41,57
AYL-PB-23,65
HC-AK-16,57
EIB-JZ-4933,61
ES-CC-5847,63
XZ-PD-7,60
VJI-IC-6802,54
WFW-CJ-4623,58
ODI-TZ-92,58
VN-RP-6,55
KU-SL-315,63
GUA-IE-24,65
PSE-AC-683,64
YKL-EV-0468,64
EQ-QH-90,57
VHO-DI-97,54
CON-WZ-17,65
QZI-KI-03,62
THR-WP-71,54
LZ-ZZ-6,56
MZF-JC-645,59
LXL-UT-59,64
FB-GC-5,54
QKE-QW-770,54
RHW-IL-71,59
TUB-TE-1,56
FQH-QD-00,65
TTP-VT-5,63
ERZ-PZ-2,64
NXQ-PR-00,55
RK-RA-9,63
KG-AR-398,55
NZ-IF-8797,65
IF-WW-523,54
IQ-TE-99,58
XUS-GB-9748,57
PU-OL-0,57
FRB-PC-9,64
JOY-IQ-1,55
DKP-BA-1390,55
QEU-QK-090,61
LLX-GP-580,55
ZHJ-QQ-9504,65
IO-RJ-45,62
KT-GU-4387,59
TYF-VN-331,56
NP-UV-60,58
RPG-MW-0803,54
OOH-DV-6144,57
DCH-RX-3,54
UH-BO-2649,63
DO-QN-599,59
XT-VT-632,55
QP-MU-728,57
OW-SU-9305,57
DQ-TJ-059,54
YD-KN-4561,61
RRD-GH-73,64
AP-NX-1,56
LD-TX-92,57
SA-IX-71,61
ZF-EA-109,56
HJU-AQ-4155,65
UO-GD-1850,64
UJJ-YZ-633,61
XMT-KW-9,65
